Indicator,PUBLISH STATES,Year,Age Group,Sex,Region,Causes,Display Value,Numeric,Low,High,Comments
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Anxiety disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Macular degeneration,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,"Trachea, bronchus, lung cancers",0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,"Cardiomyopathy, myocarditis, endocarditis",30,30.22,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Alzheimer's disease and other dementias,0,0.34,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Pancreas cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Appendicitis,3,2.51,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Congenital anomalies,19,18.81,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Hookworm disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Urolithiasis,0,0.09,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Chlamydia,0,0.16,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Trichuriasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Birth asphyxia and birth trauma,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Ischaemic heart disease,38,37.75,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Measles,1,0.76,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Diabetes mellitus,1,1.07,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Diphtheria,0,0.02,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Neurological conditions,15,14.92,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Edentulism,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other malignant neoplasms,14,13.76,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Pervasive developmental disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Neonatal conditions,120,120.23,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Vitamin A deficiency,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Trypanosomiasis,5,4.69,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Drug use disorders,2,2.14,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Collective violence and legal intervention,11,11.10,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Cirrhosis of the liver,47,47.38,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Iron-deficiency anaemia,6,5.98,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Alcohol use disorders,0,0.42,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Ascariasis,0,0.06,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Cleft lip and cleft palate,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Liver cancer,7,7.45,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Gynecological diseases,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other neoplasms,0,0.48,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Injuries,75,74.90,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Tetanus,9,9.23,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Gonorrhoea,0,0.09,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Gynecological diseases,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Malignant neoplasms,69,69.41,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Eating disorders,0,0.15,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,"Endocrine, blood, immune disorders",18,17.96,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Corpus uteri cancer,3,3.17,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other neoplasms,2,1.71,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Ovary cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Poisonings,6,5.77,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Falls,10,9.60,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other musculoskeletal disorders,1,1.11,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Skin diseases,1,1.13,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,"Fire, heat and hot substances",12,12.47,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Leishmaniasis,3,2.64,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Upper respiratory infections,0,0.07,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Stomach cancer,18,17.65,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Road injury,43,42.56,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,"Cardiomyopathy, myocarditis, endocarditis",7,7.29,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other STDs,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Maternal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Lower respiratory infections,27,27.06,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Macular degeneration,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Protein-energy malnutrition,54,53.82,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Nutritional deficiencies,28,28.16,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other circulatory diseases,1,1.37,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Congenital heart anomalies,0,0.27,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Other unintentional injuries,36,35.88,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Down's syndrome,0,0.11,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Communicable & other Group I,681,680.95,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Kidney diseases,10,9.51,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Iodine deficiency,0,0.17,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Trypanosomiasis,3,3.07,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,All Causes,1073,1073.22,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Encephalitis,2,2.16,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,"Cardiomyopathy, myocarditis, endocarditis",1,1.20,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Malaria,23,22.84,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Colon and rectum cancers,4,3.59,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Unintentional injuries,41,40.71,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Urolithiasis,0,0.19,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Rheumatoid arthritis,1,1.19,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Other congenital anomalies,10,10.10,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Liver cancer,4,4.28,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Upper respiratory infections,0,0.22,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,All Causes,1798,1798.45,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other malignant neoplasms,43,42.90,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Multiple sclerosis,0,0.12,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Leukaemia,5,4.59,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other STDs,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Colon and rectum cancers,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Anxiety disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Upper respiratory infections,0,0.19,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Other mental and behavioural disorders,1,1.23,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Birth asphyxia and birth trauma,55,54.62,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Unintentional injuries,74,73.68,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Malaria,4,3.52,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Ischaemic heart disease,193,192.62,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Asthma,2,1.72,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Parkinson's disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Communicable & other Group I,853,853.03,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Acute hepatitis C,0,0.05,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Dengue,0,0.30,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Collective violence and legal intervention,6,5.60,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Appendicitis,1,1.39,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Self-harm,10,10.41,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Neurological conditions,17,16.62,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Congenital anomalies,2,1.59,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Respiratory diseases,32,32.23,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other nutritional deficiencies,0,0.06,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Gynecological diseases,1,0.50,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Falls,3,2.97,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Vitamin A deficiency,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Childhood-cluster diseases,16,15.68,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Dengue,0,0.23,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Pancreas cancer,1,0.88,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Neonatal sepsis and infections,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Appendicitis,12,11.55,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Infectious and parasitic diseases,179,178.65,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Diabetes mellitus,1,1.10,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Schizophrenia,1,0.87,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Bladder cancer,4,3.60,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Upper respiratory infections,0,0.06,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Meningitis,33,33.28,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Road injury,23,23.19,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Gonorrhoea,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Childhood-cluster diseases,0,0.26,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Trichuriasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other neurological conditions,3,2.56,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Hypertensive heart disease,13,13.37,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Chronic obstructive pulmonary disease,30,29.94,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Nutritional deficiencies,24,23.91,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Protein-energy malnutrition,26,25.77,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Chlamydia,0,0.10,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Schistosomiasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Intentional injuries,50,49.92,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Neural tube defects,0,0.03,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,HIV/AIDS,531,531.30,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Other neonatal conditions,4,4.27,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Noncommunicable diseases,347,346.79,,,
